region,key,reason,course_ids
England,Dorset Golf and Country Club,"front/back nine (distance, par) sequence identical for tee ('Yellow', 'M') — looks like duplicated scrape data, not a real 18-hole layout — excluded","DORSET_GCC_PARKLAND,DORSET_GCC_LAKELAND"
England,Dorset Golf and Country Club,"front/back nine (distance, par) sequence identical for tee ('White', 'M') — looks like duplicated scrape data, not a real 18-hole layout — excluded","DORSET_GCC_PARKLAND,DORSET_GCC_LAKELAND"
England,Dorset Golf and Country Club,no complete tee configuration survived — course excluded entirely,"DORSET_GCC_PARKLAND,DORSET_GCC_LAKELAND"
England,The London Golf Club - Heritage,"incomplete hole data for tee ('White', 'M'): 36/18 holes — excluded","LONDON_HERITAGE,LONDON_HERITAGE__BLUE_M,LONDON_HERITAGE__WHITE_M,LONDON_HERITAGE__YELLOW_M,LONDON_HERITAGE__RED_F,LONDON_CLUB_HERITAGE_WHITE_M,LONDON_HERITAGE"
England,London Golf Club - The International,"incomplete hole data for tee ('White', 'M'): 36/18 holes — excluded","LONDON_INTERNATIONAL,LONDON_INTERNATIONAL__WHITE_M,LONDON_CLUB_INTERNATIONAL_BLUE_M,LONDON_INTERNATIONAL,LONDON_INTERNATIONAL"
England,London Golf Club - The International,"incomplete hole data for tee ('White', 'M'): 36/18 holes — excluded","LONDON_INTERNATIONAL,LONDON_INTERNATIONAL__WHITE_M,LONDON_CLUB_INTERNATIONAL_BLUE_M,LONDON_INTERNATIONAL,LONDON_INTERNATIONAL"
England,Lullingstone Park Golf Course,"incomplete hole data for tee ('White', 'M'): 36/18 holes — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Lullingstone Park Golf Course,"incomplete hole data for tee ('Yellow', 'M'): 36/18 holes — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Lullingstone Park Golf Course,"incomplete hole data for tee ('Red', 'F'): 36/18 holes — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Lullingstone Park Golf Course,"front/back nine (distance, par) sequence identical for tee ('Black', 'M') — looks like duplicated scrape data, not a real 18-hole layout — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Lullingstone Park Golf Course,"incomplete hole data for tee ('White', 'M'): 36/18 holes — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Lullingstone Park Golf Course,"incomplete hole data for tee ('Yellow', 'M'): 36/18 holes — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Lullingstone Park Golf Course,"incomplete hole data for tee ('Red', 'F'): 36/18 holes — excluded","LULLINGSTONE_PARK_GOLF_COURSE_PARK_COURSE,LULLINGSTONE_PARK_GOLF_COURSE_VALLEY_COURSE"
England,Orsett Golf Club,"incomplete hole data for tee ('White', 'M'): 19/18 holes — excluded","ORSETT,ORSETT__WHITE_M,ORSETT"
England,Pyrford Golf Club,"incomplete hole data for tee ('Black', 'M'): 36/18 holes — excluded","PYRFORD,PYRFORD__BLACK_M,PYRFORD"
England,Pyrford Golf Club,"incomplete hole data for tee ('Black', 'M'): 36/18 holes — excluded","PYRFORD,PYRFORD__BLACK_M,PYRFORD"
England,Seaford Golf Club,"front/back nine (distance, par) sequence identical for tee ('Yellow', 'Not stated') — looks like duplicated scrape data, not a real 18-hole layout — excluded",SEAFORD_GOLF_CLUB
England,Seaford Golf Club,no complete tee configuration survived — course excluded entirely,SEAFORD_GOLF_CLUB
England,Sundridge Park Golf Club - East Course,"same name, conflicting Region/Town across grouped rows: {'kent', 'greater london'}","SUNDRIDGE_PARK_EAST_WHITE,SUNDRIDGE_PARK_EAST"
England,Sundridge Park Golf Club - West Course,"same name, conflicting Region/Town across grouped rows: {'kent', 'greater london'}","SUNDRIDGE_PARK_WEST_WHITE,SUNDRIDGE_PARK_WEST"
Spain,Lo Romero Golf,"incomplete hole data for tee ('Naranjas', 'M'): 13/18 holes — excluded","ESP_LO_ROMERO_WHITE_M,ESP_LO_ROMERO_WHITE_M,ESP_LO_ROMERO_WHITE_F,ESP_LO_ROMERO_YELLOW_F,ESP_LO_ROMERO_YELLOW_M,ESP_LO_ROMERO_BLUE_F,ESP_LO_ROMERO_BLUE_M,ESP_LO_ROMERO_RED_F,ESP_LO_ROMERO_RED_M,ESP_LO_ROMERO_ORANGE_F,ESP_LO_ROMERO_ORANGE_M"
Spain,Marbella Golf & Country Club,"same name, conflicting Region/Town across grouped rows: {'costa del sol', 'southern spain'}","ESP_MARBELLA_GCC_CHAMP,ESP_MARBELLA_GCC_CHAMP,ESP_MARBELLA_GCC_HOMBRE_M,ESP_MARBELLA_GCC_SENORS_M,ESP_MARBELLA_GCC_SENORAS_F"
Spain,Real Club de Golf de La Coruña,"same name, conflicting Region/Town across grouped rows: {'northern spain', 'north west spain'}","ESP_LA_CORUNA_BLANCAS,ESP_LA_CORUNA_BLANCAS,ESP_LA_CORUNA_AMARILLAS_M,ESP_LA_CORUNA_AZULES_M,ESP_LA_CORUNA_ROJAS_M,ESP_LA_CORUNA_ROJAS_F"
Turkey,Antalya Golf Club Pasha,"incomplete hole data for tee ('Gold', 'M'): 20/18 holes — excluded","TUR_PASHA_GOLD_5360,TUR_PASHA_GOLD_M_5390,TUR_PASHA_WHITE_M_5769,TUR_PASHA_GOLD_F_5390,TUR_PASHA_RED_F_4911,TUR_PASHA_GOLD_5360"
Turkey,Antalya Golf Club Pasha,"incomplete hole data for tee ('Gold', 'M'): 20/18 holes — excluded","TUR_PASHA_GOLD_5360,TUR_PASHA_GOLD_M_5390,TUR_PASHA_WHITE_M_5769,TUR_PASHA_GOLD_F_5390,TUR_PASHA_RED_F_4911,TUR_PASHA_GOLD_5360"
Wales,Machynys Peninsula Golf & Country Club,"incomplete hole data for tee ('Nicklaus', 'M'): 18/Nicklaus holes — excluded",WALES_MACHYNYS_NICKLAUS
Wales,Machynys Peninsula Golf & Country Club,no complete tee configuration survived — course excluded entirely,WALES_MACHYNYS_NICKLAUS
